code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09988,阿里巴巴-W,2020-07-23 00:00:00,242.40323,244.00323,245.40323,239.40323,32.434,0.00145,31183903,7670621903.0,-0.5704896386245631,245.40323
HK.09988,阿里巴巴-W,2020-07-24 00:00:00,241.60323,236.40323,241.80323,234.60323,31.434,0.00128,27470849,6595339176.0,-3.1147128667108195,244.00323
HK.09988,阿里巴巴-W,2020-07-27 00:00:00,238.20323,236.40323,241.60323,233.00323,31.434,0.00085,18243796,4369419976.0,0.0,236.40323
HK.09988,阿里巴巴-W,2020-07-28 00:00:00,241.40323,242.00323,243.00323,240.20323,32.171,0.00068,14674368,3588968903.0,2.3688339622093975,236.40323
HK.09988,阿里巴巴-W,2020-07-29 00:00:00,239.60323,240.40323,241.40323,238.60323,31.961,0.00049,10549764,2560835321.0,-0.6611482003773231,242.00323
HK.09988,阿里巴巴-W,2020-07-30 00:00:00,243.40323,242.20323,247.00323,240.80323,32.197,0.00101,21715110,5362170243.0,0.7487420198139529,240.40323
HK.09988,阿里巴巴-W,2020-07-31 00:00:00,246.40323,243.40323,246.40323,242.40323,32.355,0.00068,14687907,3628134990.0,0.4954516915402066,242.20323
HK.09988,阿里巴巴-W,2020-08-03 00:00:00,242.20323,243.00323,244.00323,240.80323,32.303,0.00085,18274346,4483790231.0,-0.16433635658820372,243.40323
HK.09988,阿里巴巴-W,2020-08-04 00:00:00,248.20323,251.20323,252.40323,247.80323,33.381,0.00116,24914559,6311001118.0,3.374440743030448,243.00323
HK.09988,阿里巴巴-W,2020-08-05 00:00:00,253.20323,253.20323,253.40323,249.40323,33.644,0.00084,18116054,4617249502.0,0.7961681065964001,251.20323
HK.09988,阿里巴巴-W,2020-08-06 00:00:00,254.40323,254.40323,255.20323,250.60323,33.802,0.00074,15966937,4079735543.0,0.4739276035301829,253.20323
HK.09988,阿里巴巴-W,2020-08-07 00:00:00,253.40323,246.60323,253.60323,238.00323,32.776,0.00169,36237559,8999484090.0,-3.065998808269852,254.40323
HK.09988,阿里巴巴-W,2020-08-10 00:00:00,242.20323,239.80323,242.20323,237.80323,31.882,0.00121,26039892,6316686647.0,-2.757465909915285,246.60323
HK.09988,阿里巴巴-W,2020-08-11 00:00:00,239.40323,241.40323,244.20323,239.00323,32.092,0.00078,16702416,4081411473.0,0.66721369849772,239.80323
HK.09988,阿里巴巴-W,2020-08-12 00:00:00,239.60323,240.80323,242.00323,235.40323,32.013,0.00074,15796928,3817896100.0,-0.24854679864888068,241.40323
HK.09988,阿里巴巴-W,2020-08-13 00:00:00,245.20323,245.60323,248.40323,243.60323,32.645,0.00058,12489234,3101672580.0,1.9933287439707446,240.80323
HK.09988,阿里巴巴-W,2020-08-14 00:00:00,243.60323,244.20323,246.20323,241.80323,32.46,0.00059,12607886,3113579750.0,-0.5700250766246053,245.60323
HK.09988,阿里巴巴-W,2020-08-17 00:00:00,240.00323,240.20323,244.00323,238.60323,31.934,0.00097,20853111,5079606007.0,-1.6379799726645712,244.20323
HK.09988,阿里巴巴-W,2020-08-18 00:00:00,246.80323,249.40323,250.00323,245.00323,33.144,0.00108,23158760,5792981325.0,3.830090045000651,240.20323
HK.09988,阿里巴巴-W,2020-08-19 00:00:00,249.40323,252.80323,253.40323,248.40323,33.592,0.00071,15227171,3875288324.0,1.3632541968281668,249.40323
HK.09988,阿里巴巴-W,2020-08-20 00:00:00,251.40323,252.40323,253.20323,247.80323,33.539,0.00107,22881516,5796326521.0,-0.1582258264659062,252.80323
HK.09988,阿里巴巴-W,2020-08-21 00:00:00,249.20323,250.20323,256.00323,248.00323,33.25,0.00149,32079272,8158819307.0,-0.8716211753708607,252.40323
HK.09988,阿里巴巴-W,2020-08-24 00:00:00,258.40323,261.80323,263.40323,256.60323,34.775,0.00203,43488850,11431948544.0,4.636231115001991,250.20323
HK.09988,阿里巴巴-W,2020-08-25 00:00:00,267.40323,266.60323,271.80323,264.00323,35.407,0.00143,30708120,8315663515.0,1.83343803665066,261.80323
HK.09988,阿里巴巴-W,2020-08-26 00:00:00,277.20323,277.80323,277.80323,274.20323,36.88,0.00149,31949336,8913609882.0,4.200999365236494,266.60323
HK.09988,阿里巴巴-W,2020-08-27 00:00:00,280.00323,278.00323,281.40323,275.40323,36.906,0.00131,28072548,7901575149.0,0.07199340338843023,277.80323
HK.09988,阿里巴巴-W,2020-08-28 00:00:00,274.40323,274.40323,277.00323,272.60323,36.432,0.00138,29542320,8204484945.0,-1.2949489831466945,278.00323
HK.09988,阿里巴巴-W,2020-08-31 00:00:00,280.20323,280.20323,285.00323,278.40323,37.195,0.00125,26933353,7672605677.0,2.1136777435163614,274.40323
HK.09988,阿里巴巴-W,2020-09-01 00:00:00,276.40323,280.20323,282.80323,275.60323,37.195,0.00112,24207208,6827407275.0,0.0,280.20323
HK.09988,阿里巴巴-W,2020-09-02 00:00:00,287.40323,288.60323,289.40323,284.80323,38.63,0.00114,24662027,7149828845.0,2.9978241150182234,280.20323
HK.09988,阿里巴巴-W,2020-09-03 00:00:00,285.20323,281.60323,286.60323,280.80323,37.702,0.00134,28987875,8292935672.0,-2.425475279677223,288.60323
HK.09988,阿里巴巴-W,2020-09-04 00:00:00,265.40323,271.40323,272.80323,262.60323,36.349,0.00364,78861798,21490059248.0,-3.622117544603444,281.60323
HK.09988,阿里巴巴-W,2020-09-07 00:00:00,268.60323,263.00323,272.00323,262.80323,35.234,0.00219,47493625,12878180490.0,-3.0950258034880553,271.40323
HK.09988,阿里巴巴-W,2020-09-08 00:00:00,267.40323,267.00323,269.20323,259.60323,35.765,0.00128,27608738,7384451840.0,1.5208938688699758,263.00323
HK.09988,阿里巴巴-W,2020-09-09 00:00:00,259.40323,260.60323,262.00323,256.00323,34.916,0.00125,27066740,7086766586.0,-2.396974748208094,267.00323
HK.09988,阿里巴巴-W,2020-09-10 00:00:00,264.20323,260.00323,265.40323,259.40323,34.836,0.00118,25531787,6781491107.0,-0.23023505886708415,260.60323
HK.09988,阿里巴巴-W,2020-09-11 00:00:00,260.80323,263.40323,264.40323,258.20323,35.287,0.00096,20757663,5483130633.0,1.307676062332008,260.00323
HK.09988,阿里巴巴-W,2020-09-14 00:00:00,264.20323,265.60323,266.00323,261.40323,35.579,0.00074,16063671,4291080634.0,0.8352213448559415,263.40323
HK.09988,阿里巴巴-W,2020-09-15 00:00:00,265.40323,264.80323,267.00323,263.60323,35.473,0.00091,19666515,5271527041.0,-0.3012011563263035,265.60323
HK.09988,阿里巴巴-W,2020-09-16 00:00:00,267.20323,270.40323,270.40323,266.60323,36.216,0.00097,20927130,5679417751.0,2.114777829560471,264.80323
HK.09988,阿里巴巴-W,2020-09-17 00:00:00,268.20323,265.20323,269.00323,263.00323,35.526,0.00089,19364862,5187765056.0,-1.9230539516854102,270.40323
HK.09988,阿里巴巴-W,2020-09-18 00:00:00,264.00323,267.00323,267.00323,261.80323,35.765,0.00097,20935638,5608151516.0,0.6787247651546153,265.20323
HK.09988,阿里巴巴-W,2020-09-21 00:00:00,264.40323,259.40323,265.60323,259.40323,34.757,0.00097,20930001,5559122667.0,-2.846407513497109,267.00323
HK.09988,阿里巴巴-W,2020-09-22 00:00:00,264.40323,262.20323,264.40323,259.80323,35.128,0.00076,16372015,4341925779.0,1.079400591889319,259.40323
HK.09988,阿里巴巴-W,2020-09-23 00:00:00,264.20323,264.40323,266.60323,262.20323,35.42,0.00094,20296916,5436694780.0,0.8390438210848845,262.20323
HK.09988,阿里巴巴-W,2020-09-24 00:00:00,261.40323,258.40323,262.80323,258.40323,34.624,0.00076,16462927,4320316470.0,-2.2692612340628364,264.40323
HK.09988,阿里巴巴-W,2020-09-25 00:00:00,261.80323,255.40323,261.80323,252.80323,34.226,0.00071,15319675,3979294977.0,-1.160976199871805,258.40323
HK.09988,阿里巴巴-W,2020-09-28 00:00:00,259.40323,260.80323,262.00323,258.60323,34.942,0.00055,11818697,3114018882.0,2.114303722783763,255.40323
HK.09988,阿里巴巴-W,2020-09-29 00:00:00,265.60323,262.80323,267.40323,262.80323,35.208,0.00077,16607941,4451841614.0,0.766861668085936,260.80323
